"Region","Decade","MeanPrecip","MeanMovingAvg"
"Africa",1940,-1.38728559814815,-25.5675132730556
"Africa",1950,108.847521275315,71.876443891963
"Africa",1960,77.4526829117722,79.604540238422
"Africa",1970,100.121892299444,88.9575678786946
"Africa",1980,70.4337287141667,83.3179723545463
"Africa",1990,20.3006360240556,43.8520633103444
"Africa",2000,-21.8508526905669,-1.02104111535055
"Africa",2010,-2.96491114425926,-16.5918005891067
"Africa",2020,-13.8984140979037,-1.95506359516296
"Antarctica",1940,-268.421814236667,-94.2799356903333
"Antarctica",1950,-185.465734066667,-152.7209387363
"Antarctica",1960,-125.825094966667,-151.976503245
"Antarctica",1970,-94.17652587,-117.380687252333
"Antarctica",1980,-23.641888721,-45.4169168729333
"Antarctica",1990,-12.7465142646667,-11.0175747867333
"Antarctica",2000,-11.5592370766667,-15.7695396666667
"Antarctica",2010,37.3550803666667,15.4056812773333
"Antarctica",2020,2.92199780466667,18.4672524412667
"Asia",1940,-1.91102647916667,-85.7582254275
"Asia",1950,-18.4101670950833,-46.3763131041583
"Asia",1960,-3.77977835897917,-7.98721385534792
"Asia",1970,22.6982240709833,17.5911591453185
"Asia",1980,3.2719224546625,4.04034501777271
"Asia",1990,1.35287831234375,0.753617357344165
"Asia",2000,-18.8522449277917,-8.70540303308542
"Asia",2010,13.6495915341667,7.96960750112708
"Asia",2020,39.6844333391667,11.10705247475
"Europe",1940,-118.659771882927,-133.013590857659
"Europe",1950,-74.055572072,-106.648147033924
"Europe",1960,2.60890706687805,-31.247173184839
"Europe",1970,20.7373965080473,17.2889670845364
"Europe",1980,1.50776394765854,15.7812563392279
"Europe",1990,-20.4548535514134,-27.5389208684332
"Europe",2000,-3.38852326014634,-3.77018572342415
"Europe",2010,16.1268518206829,11.6876875190244
"Europe",2020,35.07316473,19.0821607718293
"North America",1940,18.2257556,84.5420279742609
"North America",1950,3.55707438,56.5297310398696
"North America",1960,-32.9700925243478,-29.4233986334783
"North America",1970,28.1944010308696,-5.68299266834783
"North America",1980,-15.4090144170435,14.6447839334696
"North America",1990,-28.1427543228478,-48.5054720858304
"North America",2000,-0.403410248392478,-10.602541500757
"North America",2010,16.2711936469565,55.9481031223993
"North America",2020,31.3985310069565,-25.6972568942609
"Oceania",1940,-97.8905353833333,-21.9343273841667
"Oceania",1950,-33.1984062541667,-30.4557327074167
"Oceania",1960,-45.3837630708333,-38.0100897475
"Oceania",1970,-77.9019234741667,-59.22928742375
"Oceania",1980,-113.46259621125,-116.886021182208
"Oceania",1990,-154.479459327583,-138.163330731542
"Oceania",2000,-0.387106333333332,-69.4232042784167
"Oceania",2010,111.3349463825,73.1331749826667
"Oceania",2020,178.45981145,136.717061591333
"South America",1940,6.04306038461538,-14.7539160207692
"South America",1950,-21.9599640730769,-11.4917960664615
"South America",1960,-148.839919998462,-103.642285218615
"South America",1970,8.73328811153846,-41.9964033170769
"South America",1980,22.1175774292308,10.0387731506154
"South America",1990,10.7918234984615,8.49430663638462
"South America",2000,-25.0557551669231,-1.51661884184615
"South America",2010,36.2023455738462,3.61065296030769
"South America",2020,-88.7777707661538,3.99478233861538
"World",1940,-31.029793,-18.48561162
"World",1950,-35.2490273,-28.108694475
"World",1960,-22.4998862,-30.73989795
"World",1970,-18.69404354,-17.355753202
"World",1980,-15.60669403,-16.449716948
"World",1990,-22.82510897,-23.785782124
"World",2000,5.071349103,-5.4958122963
"World",2010,14.16752493,10.1264812473
"World",2020,-1.32726474,10.700603422
