Country,Country_Code,Year,Month,Total
MALAYSIA,MYS,2012,January,2473
MALAYSIA,MYS,2012,February,2333
MALAYSIA,MYS,2012,March,1984
MALAYSIA,MYS,2012,April,2259
MALAYSIA,MYS,2012,May,1606
MALAYSIA,MYS,2012,June,1502
MALAYSIA,MYS,2012,July,1852
MALAYSIA,MYS,2012,August,1455
MALAYSIA,MYS,2012,September,1873
MALAYSIA,MYS,2012,October,1607
MALAYSIA,MYS,2012,November,1702
MALAYSIA,MYS,2012,December,2442
MALAYSIA,MYS,2013,January,45449
MALAYSIA,MYS,2013,February,1822
MALAYSIA,MYS,2013,March,2266
MALAYSIA,MYS,2013,April,1795
MALAYSIA,MYS,2013,May,2091
MALAYSIA,MYS,2013,June,3126
MALAYSIA,MYS,2013,July,2680
MALAYSIA,MYS,2013,August,2872
MALAYSIA,MYS,2013,September,4856
MALAYSIA,MYS,2013,October,5821
MALAYSIA,MYS,2013,November,6167
MALAYSIA,MYS,2013,December,8263
MALAYSIA,MYS,2014,January,117096
MALAYSIA,MYS,2014,February,9016
MALAYSIA,MYS,2014,March,7842
MALAYSIA,MYS,2014,April,4709
MALAYSIA,MYS,2014,May,5944
MALAYSIA,MYS,2014,June,9872
MALAYSIA,MYS,2014,July,10106
MALAYSIA,MYS,2014,August,13542
MALAYSIA,MYS,2014,September,8468
MALAYSIA,MYS,2014,October,8025
MALAYSIA,MYS,2014,November,11410
MALAYSIA,MYS,2014,December,8161
MALAYSIA,MYS,2015,January,120836
MALAYSIA,MYS,2015,February,12041
MALAYSIA,MYS,2015,March,10248
MALAYSIA,MYS,2015,April,5920
MALAYSIA,MYS,2015,May,9432
MALAYSIA,MYS,2015,June,10097
MALAYSIA,MYS,2015,July,11365
MALAYSIA,MYS,2015,August,12269
MALAYSIA,MYS,2015,September,8988
MALAYSIA,MYS,2015,October,8912
MALAYSIA,MYS,2015,November,10688
MALAYSIA,MYS,2015,December,9622
MALAYSIA,MYS,2016,January,109037
MALAYSIA,MYS,2016,February,10954
MALAYSIA,MYS,2016,March,9046
MALAYSIA,MYS,2016,April,6984
MALAYSIA,MYS,2016,May,6345
MALAYSIA,MYS,2016,June,7205
MALAYSIA,MYS,2016,July,9600
MALAYSIA,MYS,2016,August,8519
MALAYSIA,MYS,2016,September,7198
MALAYSIA,MYS,2016,October,7212
MALAYSIA,MYS,2016,November,5106
MALAYSIA,MYS,2016,December,5664
MALAYSIA,MYS,2017,January,98505
MALAYSIA,MYS,2017,February,7402
MALAYSIA,MYS,2017,March,7350
MALAYSIA,MYS,2017,April,9650
MALAYSIA,MYS,2017,May,8920
MALAYSIA,MYS,2017,June,7839
MALAYSIA,MYS,2017,July,8889
MALAYSIA,MYS,2017,August,4735
MALAYSIA,MYS,2017,September,4510
MALAYSIA,MYS,2017,October,4841
MALAYSIA,MYS,2017,November,5512
MALAYSIA,MYS,2017,December,8415
MALAYSIA,MYS,2018,January,85870
MALAYSIA,MYS,2018,February,4747
MALAYSIA,MYS,2018,March,4516
MALAYSIA,MYS,2018,April,5524
MALAYSIA,MYS,2018,May,6072
MALAYSIA,MYS,2018,June,7137
MALAYSIA,MYS,2018,July,10105
MALAYSIA,MYS,2018,August,7242
MALAYSIA,MYS,2018,September,7121
MALAYSIA,MYS,2018,October,6416
MALAYSIA,MYS,2018,November,7736
MALAYSIA,MYS,2018,December,12525
MALAYSIA,MYS,2019,January,143012
MALAYSIA,MYS,2019,February,11011
MALAYSIA,MYS,2019,March,11557
MALAYSIA,MYS,2019,April,6653
MALAYSIA,MYS,2019,May,8227
MALAYSIA,MYS,2019,June,12633
MALAYSIA,MYS,2019,July,13549
MALAYSIA,MYS,2019,August,11815
MALAYSIA,MYS,2019,September,11762
MALAYSIA,MYS,2019,October,7709
MALAYSIA,MYS,2019,November,9092
MALAYSIA,MYS,2019,December,13363
MALAYSIA,MYS,2020,January,12484
MALAYSIA,MYS,2020,February,10968
MALAYSIA,MYS,2020,March,9078
MALAYSIA,MYS,2020,April,4986
MALAYSIA,MYS,2020,May,8239
MALAYSIA,MYS,2020,June,7977
MALAYSIA,MYS,2020,July,7928
MALAYSIA,MYS,2020,August,8582
MALAYSIA,MYS,2020,September,5385
MALAYSIA,MYS,2020,October,4515
MALAYSIA,MYS,2020,November,4596
MALAYSIA,MYS,2020,December,2433
MALAYSIA,MYS,2021,January,3371
MALAYSIA,MYS,2021,February,2259
MALAYSIA,MYS,2021,March,1856
MALAYSIA,MYS,2021,April,1894
MALAYSIA,MYS,2021,May,2421
MALAYSIA,MYS,2021,June,2506
MALAYSIA,MYS,2021,July,2162
MALAYSIA,MYS,2021,August,2085
MALAYSIA,MYS,2021,September,1706
MALAYSIA,MYS,2021,October,2306
MALAYSIA,MYS,2021,November,2010
MALAYSIA,MYS,2021,December,2402
MALAYSIA,MYS,2022,January,3609
MALAYSIA,MYS,2022,February,2657
MALAYSIA,MYS,2022,March,2753
MALAYSIA,MYS,2022,April,3942
MALAYSIA,MYS,2022,May,5884
MALAYSIA,MYS,2022,June,5883
MALAYSIA,MYS,2022,July,7792
MALAYSIA,MYS,2022,August,5429
MALAYSIA,MYS,2022,September,5619
MALAYSIA,MYS,2022,October,7623
MALAYSIA,MYS,2022,November,6734
MALAYSIA,MYS,2022,December,7807
